City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Salta,AR,-24.7859,-65.4117,87.58,32,20,9.22,smoke
156,Odesskoye,RU,54.2111,72.9651,30.94,98,100,12.53,light snow
157,Taloqan,AF,36.7361,69.5345,46.8,70,100,0.54,overcast clouds
158,Marawi,PH,7.9986,124.2928,67.89,93,60,1.32,broken clouds
159,Alofi,NU,-19.0595,-169.9187,78.69,83,75,11.5,broken clouds
160,Nishihara,JP,26.1842,127.7558,76.68,97,75,12.66,broken clouds
161,Basco,PH,20.4487,121.9702,80.65,84,15,13.91,few clouds
162,Zapolyarnyy,RU,69.4154,30.8136,31.28,99,100,1.48,light snow
163,Baruun-Urt,MN,46.6806,113.2792,15.84,70,4,3.38,clear sky
164,Ponta Do Sol,PT,32.6667,-17.1,69.71,83,59,2.51,broken clouds
165,Constitucion,CL,-35.3333,-72.4167,57.07,84,100,13.4,overcast clouds
166,Kirkuk,IQ,35.4681,44.3922,66.33,37,0,6.71,clear sky
167,Sola,VU,-13.8833,167.55,80.51,76,100,6.98,heavy intensity rain
168,Salgueiro,BR,-8.0742,-39.1192,91.17,27,64,10.09,broken clouds
169,College,US,64.8569,-147.8028,14.07,86,40,0.0,scattered clouds
170,Plettenberg Bay,ZA,-34.0527,23.3716,64.44,92,14,4.32,light rain
171,Komsomolskiy,UZ,40.4272,71.7189,36.32,87,100,2.3,mist
172,Aksu,CN,41.1231,80.2644,39.02,42,9,5.08,clear sky
173,Talnakh,RU,69.4865,88.3972,-10.26,93,56,5.3,broken clouds
174,Yaan,NG,7.3833,8.5667,81.43,60,100,3.65,overcast clouds
175,Sinegorye,RU,62.0788,150.477,-18.8,99,77,3.22,broken clouds
176,Aguimes,ES,27.9054,-15.4461,68.67,83,20,15.01,few clouds
177,Neryungri,RU,56.6709,124.6491,1.63,98,99,3.24,overcast clouds
178,Dunbar,US,38.3606,-81.7374,64.83,99,100,1.01,moderate rain
179,Saskylakh,RU,71.9167,114.0833,-28.73,100,89,1.1,overcast clouds
180,Takapau,NZ,-40.0333,176.35,62.73,96,76,5.21,light rain
181,Naze,JP,28.3667,129.4833,72.52,88,94,15.46,overcast clouds
182,Milkovo,RU,54.7167,158.6167,7.48,90,63,4.41,broken clouds
183,Mar Del Plata,AR,-38.0023,-57.5575,70.83,88,0,12.66,clear sky
184,The Valley,AI,18.217,-63.0578,84.34,70,40,16.11,scattered clouds
185,Bethel,US,41.3712,-73.414,65.19,87,100,1.01,moderate rain
186,Seymchan,RU,62.8833,152.4333,-17.61,97,100,1.23,overcast clouds
187,Oyama,JP,36.3,139.8,58.59,76,60,2.95,broken clouds
188,Bontang,ID,0.1333,117.5,76.82,90,100,3.2,overcast clouds
189,Saint-Georges,GD,12.0564,-61.7485,83.88,79,40,12.66,scattered clouds
190,Soyo,AO,-6.1349,12.3689,77.63,79,83,8.23,broken clouds
191,Jasper,US,37.2001,-94.3502,43.05,56,6,11.01,clear sky
192,Moramanga,MG,-18.9333,48.2,59.25,95,3,1.97,clear sky
193,Jalu,LY,29.0331,21.5482,64.8,41,11,7.72,few clouds
194,Chipata,ZM,-13.6333,32.65,69.08,62,98,4.29,overcast clouds
195,Scarborough,GB,54.2797,-0.4044,58.66,84,4,15.01,clear sky
