City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
211,Puerto Ayacucho,VE,86.88,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
215,Padang,ID,75.56,moderate rain,-0.9492,100.3543,Mercure Padang
224,Fare,PF,77.52,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
225,Touros,BR,80.19,clear sky,-5.1989,-35.4608,INN NEW HORIZON
226,Moussoro,TD,82.29,scattered clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
232,Yaring,TH,78.33,heavy intensity rain,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
238,Cordoba,AR,89.76,few clouds,-31.4135,-64.1811,Hotel Sussex
244,Hobyo,SO,81.01,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
250,San Cristobal,VE,77.18,light rain,7.7669,-72.225,Pirineos
251,Lazaro Cardenas,MX,83.93,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
255,Bafoulabe,ML,82.31,overcast clouds,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
257,Bushehr,IR,80.69,broken clouds,28.9684,50.8385,Yas Hotel
262,Faanui,PF,78.21,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
267,Callaway,US,76.98,scattered clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
270,Luanda,AO,78.8,few clouds,-8.8368,13.2343,EPIC SANA Luanda
274,San Policarpo,PH,81.23,overcast clouds,12.1791,125.5072,Agapita M. Nicart
276,Maragogi,BR,79.14,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
278,Key West,US,84.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
283,Leo,BF,82.2,overcast clouds,11.1,-2.1,Hotel Sissilis
284,Mexico,PH,80.31,scattered clouds,15.0646,120.7198,stone place
294,Domoni,KM,75.92,clear sky,-12.2569,44.5319,Al Djadid
297,Gizo,SB,80.87,moderate rain,-8.103,156.8419,Imagination Island
301,Gigmoto,PH,79.68,overcast clouds,13.7796,124.39,Cj's Travellers Inn
309,Pitimbu,BR,84.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
312,Baculin,PH,78.35,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
317,Daru,PG,78.89,broken clouds,-9.0763,143.2092,Daru Lodge
320,Las Matas De Farfan,DO,84.51,light rain,18.8731,-71.5166,Breathless Resort
323,Rio Grande,BR,80.71,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
324,Dingle,PH,75.69,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
325,Pemangkat,ID,77.36,light rain,1.1667,108.9667,Hotel Duyung Permai 2
327,Pedro Juan Caballero,PY,89.56,scattered clouds,-22.5472,-55.7333,Hotel Pousada do Bosque
328,Vaitape,PF,78.17,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
332,Wewak,PG,77.11,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
333,Boca Do Acre,BR,87.67,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
334,Banda Aceh,ID,76.1,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
337,Kahului,US,79.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
339,Victoria,HK,76.32,clear sky,22.2855,114.1577,Mini Central
340,Maldonado,UY,81.79,few clouds,-34.6667,-54.9167,La Cimarrona
344,Manokwari,ID,77.83,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
345,Ribas Do Rio Pardo,BR,87.55,overcast clouds,-20.4431,-53.7592,Pousada Avenida
346,Gombong,ID,76.17,moderate rain,-7.6072,109.5142,Grafika Hotel Dan Restoran
347,Alto Araguaia,BR,88.81,overcast clouds,-17.3147,-53.2153,Araguaia Palace Hotel
350,Trairi,BR,80.98,overcast clouds,-3.2778,-39.2689,janelas do mar
351,Ixtapa,MX,83.23,scattered clouds,20.7,-105.2,hotel la terminal
352,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
358,Mecca,SA,79.43,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
359,Chabahar,IR,79.39,clear sky,25.2919,60.643,هتل گدروشیا
363,Kapoeta,SS,80.65,overcast clouds,4.7717,33.5903,Lokoges PHCC
367,Santa Rosa,PH,80.58,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
368,Muli,MV,81.28,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
372,Sapouy,BF,79.68,broken clouds,11.5544,-1.7736,Auberge St Louis
375,Salalah,OM,78.21,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
377,Port Keats,AU,82.36,few clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
378,Hirara,JP,78.21,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
380,Upata,VE,79.84,broken clouds,8.0086,-62.3989,Posada Villa Nela
381,Iquitos,PE,89.64,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
389,Tecoanapa,MX,82.89,few clouds,16.5167,-98.75,Hotel Manglares
393,Albina,SR,79.86,overcast clouds,5.5,-54.05,Hudace
395,Cayenne,GF,87.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
396,Meulaboh,ID,75.67,light rain,4.1363,96.1285,Kost Pria
401,Harper,LR,77.49,overcast clouds,4.375,-7.7169,Screensaver
402,Limbang,MY,77.11,overcast clouds,4.75,115.0,Purnama Hotel
409,Tutoia,BR,81.09,overcast clouds,-2.7619,-42.2744,Pousada Guará's
410,La Romana,DO,89.96,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
416,Noumea,NC,78.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
430,Tabou,CI,77.13,overcast clouds,4.423,-7.3528,hotêl doufoulougou
434,Boffa,GN,79.5,scattered clouds,10.1667,-14.0333,Hôtel Niara Belly
436,Caravelas,BR,77.9,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
441,Ewa Beach,US,80.44,few clouds,21.3156,-158.0072,Base Lodging
453,Paracuru,BR,80.11,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
455,Porto Novo,BJ,79.48,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
462,Hoi An,VN,75.16,overcast clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
482,Labuan,MY,80.87,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
483,Kavaratti,IN,82.15,overcast clouds,10.5669,72.642,Green leaf
485,Kokopo,PG,77.45,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
487,Pasni,PK,78.73,clear sky,25.2631,63.471,Kashmiri Hotal
490,Acari,PE,77.61,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
491,Namatanai,PG,78.37,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
501,Carutapera,BR,81.43,scattered clouds,-1.195,-46.02,Lidera
508,Buchanan,LR,77.79,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
509,Aquiraz,BR,82.49,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
