City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Ahuimanu,US,2022-11-09 18:55:54,21.4447,-157.8378,79.36,77,21,5.99
101,Ust-Koksa,RU,2022-11-09 18:55:54,50.2696,85.6108,9.75,95,42,1.01
102,San Matias,BO,2022-11-09 18:55:55,-16.3667,-58.4,104.13,15,0,3.96
103,Ponta Do Sol,PT,2022-11-09 18:55:55,32.6667,-17.1,71.71,84,61,4.99
104,Carnarvon,AU,2022-11-09 18:49:30,-24.8667,113.6333,65.57,71,0,12.77
105,Esperance,AU,2022-11-09 18:55:56,-33.8667,121.9,56.12,81,32,6.62
106,Cabedelo,BR,2022-11-09 18:54:47,-6.9811,-34.8339,84.87,67,10,12.01
107,Nefteyugansk,RU,2022-11-09 18:55:56,61.0998,72.6035,25.74,98,100,4.16
108,Amarante Do Maranhao,BR,2022-11-09 18:55:56,-5.5667,-46.7422,88.48,46,100,5.21
109,Radomsko,PL,2022-11-09 18:55:57,51.0671,19.4448,42.51,79,91,11.12
110,Yarada,IN,2022-11-09 18:55:57,17.65,83.2667,79.12,83,40,2.3
111,Norden,DE,2022-11-09 18:55:57,53.6,7.2,52.0,97,91,3.0
112,San Cristobal,VE,2022-11-09 18:55:58,7.7669,-72.225,78.98,80,100,0.34
113,Stromness,GB,2022-11-09 18:55:58,58.965,-3.296,48.87,85,100,13.0
114,Nizwa,OM,2022-11-09 18:55:58,22.9333,57.5333,78.3,40,42,6.8
115,Mantsala,FI,2022-11-09 18:55:59,60.6609,25.2838,49.75,95,100,7.52
116,Ruyigi,BI,2022-11-09 18:55:59,-3.45,30.3167,59.76,90,98,4.27
117,Saint-Philippe,RE,2022-11-09 18:53:01,-21.3585,55.7679,71.19,80,52,9.4
118,Cape Town,ZA,2022-11-09 18:49:51,-33.9258,18.4232,61.21,65,20,13.8
119,Bredasdorp,ZA,2022-11-09 18:55:59,-34.5322,20.0403,60.53,54,96,7.18
120,Lokosovo,RU,2022-11-09 18:56:00,61.1333,74.8167,26.71,98,100,4.68
121,Waingapu,ID,2022-11-09 18:56:00,-9.6567,120.2641,78.1,78,79,4.18
122,Nipawin,CA,2022-11-09 18:56:00,53.3668,-104.0009,6.84,78,0,9.22
123,Dubai,AE,2022-11-09 18:56:01,25.2582,55.3047,84.13,58,0,6.91
124,Laukaa,RU,2022-11-09 18:56:01,58.7372,29.8453,45.64,92,100,7.02
125,Deputatskiy,RU,2022-11-09 18:51:57,69.3,139.9,-12.48,95,89,4.97
126,Rabat,MA,2022-11-09 18:51:51,33.9911,-6.8401,66.04,93,40,3.44
127,Cody,US,2022-11-09 18:56:02,44.5263,-109.0565,9.91,78,100,9.22
128,Qena,EG,2022-11-09 18:56:02,26.1615,32.7183,69.91,44,0,8.95
129,Lorengau,PG,2022-11-09 18:51:53,-2.0226,147.2712,81.34,75,75,2.68
130,Pochutla,MX,2022-11-09 18:56:02,15.7432,-96.4661,88.83,58,9,7.05
131,Makungu,TZ,2022-11-09 18:56:03,-8.7333,35.2833,67.68,72,99,4.83
132,Bengkulu,ID,2022-11-09 18:50:40,-3.8004,102.2655,75.29,91,100,2.59
133,Hasaki,JP,2022-11-09 18:56:03,35.7333,140.8333,48.6,79,62,12.26
134,Upernavik,GL,2022-11-09 18:53:11,72.7868,-56.1549,9.7,86,100,1.99
135,Faya,SA,2022-11-09 18:53:14,18.3851,42.4509,62.71,65,20,1.9
136,Uruzgan,AF,2022-11-09 18:56:04,32.8333,66.0,47.21,65,37,3.98
137,Half Moon Bay,US,2022-11-09 18:56:04,37.4636,-122.4286,59.14,72,75,5.75
138,San Antonio,US,2022-11-09 18:54:02,29.4241,-98.4936,82.53,72,100,6.91
139,Kattivakkam,IN,2022-11-09 18:57:05,13.2167,80.3167,80.69,82,100,7.83
140,Silifke,TR,2022-11-09 18:57:05,36.3778,33.9344,65.55,56,15,4.74
141,Tiznit,MA,2022-11-09 18:57:06,29.5833,-9.5,65.1,55,8,3.09
142,Waw,SS,2022-11-09 18:57:06,7.7029,27.9953,81.01,47,90,3.4
143,Capreol,CA,2022-11-09 18:57:07,46.706,-80.9225,48.67,66,75,24.16
144,Petropavlovka,RU,2022-11-09 18:57:07,50.6114,105.3196,27.0,95,100,1.54
145,Honningsvag,NO,2022-11-09 18:57:07,70.9821,25.9704,38.95,60,75,8.05
146,Tuktoyaktuk,CA,2022-11-09 18:51:48,69.4541,-133.0374,19.4,93,100,4.61
147,Shingu,JP,2022-11-09 18:57:08,33.7333,135.9833,52.66,72,0,5.64
148,Port Hardy,CA,2022-11-09 18:57:08,50.6996,-127.4199,33.98,86,20,0.0
149,Lagoa,PT,2022-11-09 18:57:08,39.05,-27.9833,66.24,82,100,19.8
150,Igrim,RU,2022-11-09 18:57:09,63.1906,64.4162,21.47,97,99,4.12
151,Jhelum,PK,2022-11-09 18:57:09,32.9331,73.7264,64.99,57,100,5.61
152,Newport,GB,2022-11-09 18:57:10,51.5877,-2.9984,54.61,86,29,17.16
153,Te Anau,NZ,2022-11-09 18:57:10,-45.4167,167.7167,42.76,80,9,1.63
154,Hauterive,FR,2022-11-09 18:57:10,46.0901,3.4459,54.36,92,100,1.23
155,Atuona,PF,2022-11-09 18:49:28,-9.8,-139.0333,77.72,67,100,20.36
156,Guasca,CO,2022-11-09 18:57:11,4.866,-73.8775,62.96,83,99,1.01
157,Cidreira,BR,2022-11-09 18:57:11,-30.1811,-50.2056,67.24,75,19,9.89
158,Ahipara,NZ,2022-11-09 18:57:12,-35.1667,173.1667,60.39,88,14,5.95
159,Kailua,US,2022-11-09 18:57:12,21.4022,-157.7394,79.65,75,16,5.99
160,Kodiak,US,2022-11-09 18:50:42,57.79,-152.4072,36.91,87,100,16.11
161,Vestmannaeyjar,IS,2022-11-09 18:57:13,63.4427,-20.2734,45.59,87,100,20.71
162,Nieves,PH,2022-11-09 18:57:13,15.3274,120.9485,83.71,90,92,2.35
163,Venado Tuerto,AR,2022-11-09 18:57:13,-33.7456,-61.9688,89.83,14,15,14.99
164,Berbera,SO,2022-11-09 18:57:14,10.4396,45.0143,83.07,74,0,9.19
